color,count
#9C7438,2
#9C0000,2
#980000,2
#501464,2
#00688B,2
#B89800,2
#006038,2
#004428,2
#228B22,2
#203078,2
#28287C,2
#D03034,2
#040470,2
#701C60,2
#D09000,2
#3C6838,2
#BC1828,2
#509721,2
#4C5068,2
#4169E1,2
#2F2F4F,2
#6000DC,2
#4B2E24,2
#9C2430,2
#285828,2
#EC9D9D,2
#A00028,2
#236B8E,2
#006633,2
#005430,2
#6C006C,2
#740074,2
#FAFA96,2
#7C0034,2
#A02828,2
#A08400,2
#508844,2
#3C0096,2
#40748C,2
#324114,2
#404040,2
#105088,2
#848488,2
#CCA800,2
#D0C4B4,2
#76A3B9,2
#B13836,2
#B40000,2
#D0908C,2
#48783C,2
#237F97,2
#CB2610,2
#14492D,2
#BE8F2C,2
#001C00,2
#82C880,2
#402A21,2
#A58065,2
#D0B87C,2
#292929,2
#004080,2
#5A1C38,2
#640054,2
#886000,2
#002CC0,2
#00C8C8,2
#002C4C,2
#F5D38B,2
#3C5C70,2
#642000,2
#E09CA0,2
#5B360B,2
#EC7440,2
#C40400,2
#6400E0,2
#005C30,2
#F8F0E4,2
#2E8B57,1
#355F3B,1
#273F2A,1
#EC0416,1
#0B148E,1
#F8B400,1
#97342F,1
#87CEFA,1
#DC143C,1
#990000,1
#EEEEEE,1
#B0171F,1
#2C40A0,1
#B45844,1
#646C64,1
#BDBD65,1
#506494,1
#C9C9C9,1
#304C78,1
#6F1D1F,1
#65787F,1
#9F7136,1
#800300,1
#7D7D7D,1
#38558F,1
#A47800,1
#101034,1
#A80020,1
#242468,1
#E8A800,1
#6480AC,1
#380474,1
#4B3971,1
#003F87,1
#96C8A2,1
#FFF68F,1
#D8C888,1
#747C60,1
#60082C,1
#0044A8,1
#963C0F,1
#820BBB,1
#FFCC11,1
#30AC38,1
#785000,1
#40647C,1
#005044,1
#2C6464,1
#ECCCB8,1
#1888D8,1
#FCEC94,1
#C07468,1
#640C1C,1
#3C74A4,1
#809850,1
#ECECD8,1
#041B67,1
#744000,1
#D07C00,1
#B8C8D4,1
#067396,1
#E4E4E4,1
#141010,1
#403828,1
#405C34,1
#204844,1
#A0C0FF,1
#FFFF80,1
#40A040,1
#C8A050,1
#94ACB8,1
#784878,1
#324E75,1
#215E4E,1
#0A0336,1
#0F1F53,1
#90000C,1
#688038,1
#858585,1
#AC7F24,1
#144800,1
#FFCC00,1
#88ACB8,1
#414C6C,1
#738182,1
#486934,1
#7C7D5D,1
#F06804,1
#AC201C,1
#1C3C00,1
#105880,1
#78240C,1
#A67D3D,1
#1C0000,1
#2B2A2A,1
#081408,1
#1B2401,1
#10712E,1
#1F5ABA,1
#9EAFDB,1
#23613C,1
#D6BEB4,1
#522720,1
#894B18,1
#D9B152,1
#6C2012,1
#5D1B36,1
#8E1818,1
#000078,1
#404C64,1
#98B0FC,1
#C8A000,1
#886024,1
#00A0AC,1
#FC3000,1
#DD0000,1
#8A8A8A,1
#EBB790,1
#14143C,1
#4B0082,1
#7C4420,1
#233634,1
#27371D,1
#51200F,1
#982428,1
#2C3878,1
#FC0040,1
#60707C,1
#2888B8,1
#A03030,1
#330099,1
#FF6666,1
#9CACB8,1
#4078A4,1
#541C0C,1
#407040,1
#103848,1
#1C3054,1
#C83C28,1
#003074,1
#481C04,1
#684038,1
#8B6508,1
#0080FF,1
#909090,1
#345460,1
#486373,1
#B8A47C,1
#B0781C,1
#5C4033,1
#00FA9A,1
#282850,1
#68205C,1
#00400C,1
#7C045C,1
#000086,1
#D4D07C,1
#406454,1
#607C88,1
#445464,1
#982C2C,1
#393939,1
#5B5B5B,1
#A40B00,1
#345C74,1
#583014,1
#A47C00,1
#7C583C,1
#4876FF,1
#A9A9A9,1
#943030,1
#B8A82C,1
#00AF33,1
#1874CD,1
#99182C,1
#F80000,1
#345064,1
#283C50,1
#2C4C68,1
#4074A4,1
#A86C2C,1
#AC3420,1
#9C8098,1
#889C5C,1
#2474EB,1
#446C84,1
#002C04,1
#B45050,1
#446428,1
#C02000,1
#C04C04,1
#F6A4D5,1
#6CA6CD,1
#EE9A00,1
#7CCD7C,1
#1464F4,1
#00C957,1
#FFEC8B,1
#C0C4A0,1
#B44440,1
#488CC0,1
#688C28,1
#283C00,1
#F4F8D0,1
#E0E0A0,1
#549C68,1
#142814,1
#3C0000,1
#1E2925,1
#A2A093,1
#8B2316,1
#47426A,1
#A37A28,1
#4C3400,1
#00CCD0,1
#3874C4,1
#C4B48C,1
#C49400,1
#FF3333,1
#669900,1
#996600,1
#3366CC,1
#397D02,1
#36648B,1
#B7D38B,1
#7878A8,1
#D4E8F4,1
#A43C14,1
#930601,1
#F0E200,1
#001F5C,1
#ECB034,1
#141414,1
#F0C400,1
#F6799F,1
#001A00,1
#E9713C,1
#004710,1
#453128,1
#0163AC,1
#1C0044,1
#CBC1A4,1
#97967D,1
#6080E0,1
#86B0CB,1
#DF3037,1
#504992,1
#3E6F48,1
#D4D44E,1
#081736,1
#E1B609,1
#427E89,1
#8B5DA3,1
#256527,1
#766123,1
#903490,1
#481860,1
#709098,1
#523E60,1
#A4B4CC,1
#3048B4,1
#009020,1
#5C005C,1
#F82808,1
#949C40,1
#CECECE,1
#318CE7,1
#FC2020,1
#003C9C,1
#FC9CD4,1
#473C8B,1
#8CA064,1
#C03824,1
#907B53,1
#F88410,1
#A89448,1
#084848,1
#28802C,1
#2C6C80,1
#443048,1
#780000,1
#843480,1
#202460,1
#008440,1
#003C24,1
#757547,1
#CC7A00,1
#487048,1
#343400,1
#6C2400,1
#EEEE00,1
#007844,1
#DCC010,1
#BC4C10,1
#907C80,1
#6C5454,1
#F03C00,1
#ECECAC,1
#84407C,1
#CCD8E4,1
#6A5E47,1
#70A870,1
#C47000,1
#80507C,1
#B46800,1
#5C98BC,1
#7C8679,1
#911A1B,1
#3A4F8E,1
#1A5137,1
#845C00,1
#FFFFAA,1
#00009C,1
#643424,1
#506078,1
#145064,1
#010512,1
#FFEA97,1
#4830A0,1
#D8C0A4,1
#A08CB0,1
#648070,1
#00540C,1
#44A054,1
#64003C,1
#2E2528,1
#005800,1
#248034,1
#64889C,1
#84C0A0,1
#848870,1
#A88C58,1
#906C50,1
#2D8ACD,1
#770676,1
#016817,1
